paper_no,Name,URL,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20
6,In Vitro Effects of Different Settings of Calculase II Upon Different Stone Classes,http://www.siucongress.org/eipdf/siu2012Abstract00211.pdf,Gauthier Raynal,Thibaut Saussez,Saeed Al-Qahtani,Nicolas Henry,Jean-Philippe Haymann,Mohamed Tligui,Michel Daudon,Olivier Traxer,,,,,,,,,,,,
7,Urinary Schistosomiasis: A Western Cohort,http://www.siucongress.org/eipdf/siu2012Abstract00212.pdf,Gauthier Raynal,Mohamed Tligui,Guillaume Le Loup,Nicolas Henry,,,,,,,,,,,,,,,,
8,In-Hospital Stays for Urolithiasis: Analysis of French National Data,http://www.siucongress.org/eipdf/siu2012Abstract00213.pdf,Gauthier Raynal,Mohamed Tligui,Olivier Traxer,,,,,,,,,,,,,,,,,
9,MRI-Navigated Stereotactic Prostate Biopsy,http://www.siucongress.org/eipdf/siu2012Abstract00214.pdf,Boris Hadaschik,Timur Kuru,Matthias Roethke,Dogu Teber,Sascha Pahernik,Heinz-Peter Schlemmer,Markus Hohenfellner,,,,,,,,,,,,,
10,Phantom Study of a Novel Stereotactic Prostate Biopsy System Integrating Preinterventional MRI and Live US Fusion,http://www.siucongress.org/eipdf/siu2012Abstract00215.pdf,Boris Hadaschik,Timur Kuru,Matthias Roethke,Sascha Pahernik,Heinz-Peter Schlemmer,Markus Hohenfellner,,,,,,,,,,,,,,
19,Sclerotherapy: Clinical Results with 98% Alcohol in 30 Cases of Symptomatic Renal Cysts,http://www.siucongress.org/eipdf/siu2012Abstract00224.pdf,Naser Alfgi,Tahier Alsheridy,Othman Bashier,Abdulghany Hussien,Ali Alshafie,,,,,,,,,,,,,,,
26,A Call for Updating the Suprapubic Catheter SPC Insertion Guidelines,http://www.siucongress.org/eipdf/siu2012Abstract00231.pdf,Rozh Jalil,Joy Roach,Chandrika Mukundan,Tahir Bhatti,,,,,,,,,,,,,,,,
27,Large Kidney Graft Renal Artery Aneurysm: Excision and Vascular Reconstruction with Arterial Allograft,http://www.siucongress.org/eipdf/siu2012Abstract00232.pdf,Frederico Furriel,Arnaldo Figueiredo,Pedro Eufrásio,Lorenzo Marconi,Silvio Bollini,Ana Brett,Alfredo Mota,,,,,,,,,,,,,
28,Urologic Disease in a Resource Poor Country,http://www.siucongress.org/eipdf/siu2012Abstract00233.pdf,Marc Manganiello,Christopher Hughes,David Bayne,Jill Buckley,John Meara,Lars Hagander,,,,,,,,,,,,,,
32,Villa Tiberia Experience in the Treatment of Renal Stones with Retrograde Intrarenal Surgery (RIRS),http://www.siucongress.org/eipdf/siu2012Abstract00238.pdf,Roberto Giulianelli,Barbara Cristina Gentile,Francesco Pisanti,Luca Mavilla,Francesco Attisani,Luca Albanesi,Gabriella Mirabile,Teuta Shestani,Manlio Schettini,,,,,,,,,,,
33,Treatment of Uretero-Pelvic Stones: Laser Ureteroscopic Lithotripsy and ESWL,http://www.siucongress.org/eipdf/siu2012Abstract00239.pdf,Roberto Giulianelli,Barbara Cristina Gentile,Francesco Pisanti,Francesco Attisani,Luca Albanesi,Luca Mavilla,Gabriella Mirabile,Teuta Shestani,Manlio Schettini,,,,,,,,,,,
36,Morphological and Histochemical Analysis of the Ileal Orthotopic Neobladder Mucosa Transformation,http://www.siucongress.org/eipdf/siu2012Abstract00242.pdf,Oleksandr Iatsyna,Eduard Stakhovsky,Oleg Voilenko,Yuriy Vitruk,Oleksandr Stakhovsky,Sergey Vernygorodskyi,Alla Yemets,,,,,,,,,,,,,
38,Assessing the Influence of Benign Prostatic Hyperplasia (BPH) on Erectile Dysfunction (ED) Among Patients in Poland,http://www.siucongress.org/eipdf/siu2012Abstract00244.pdf,Slawomir Dutkiewicz,Dariusz Skawinski,Wieslaw Duda,Magdalena Duda,,,,,,,,,,,,,,,,
39,Prevalence of Multiple Types of Genital Human Papillomavirus Infections in Men: A Study in Poland,http://www.siucongress.org/eipdf/siu2012Abstract00245.pdf,Leszek Walczak,Slawomir Dutkiewicz,Slawomir Majewski,Stefania Jablonska,,,,,,,,,,,,,,,,
42,"Prediction of Androgen Deprivation Therapy Response Using Laser Captured Microdisection Technique in Patients with Metastatic Prostate Cancer
",http://www.siucongress.org/eipdf/siu2012Abstract00252.pdf,Tetsuya Fujimura,Satoru Takahashi,Tomohiko Urano,Haruki Kume,Kenich Takayama,Taro Murata,Yuta Yamada,Daisuke Obinata,Satoshi Inoue,Yukio Homma,,,,,,,,,,
44,French National Trends in Prostatic Surgery Volume,http://www.siucongress.org/eipdf/siu2012Abstract00254.pdf,Eric Alezra,Thomas François,Fabien Saint,Jean-Claude Kikassa,Gauthier Raynal,,,,,,,,,,,,,,,
45,Functional Evaluation of Artificial Ileal Bladder by 'Double U' Method within Separate Postoperative Period,http://www.siucongress.org/eipdf/siu2012Abstract00266.pdf,Oleksandr Iatsyna,Oleg Voilenko,Oksana Gavriluk,Yurii Vitruk,Yurii Chernienko,Alla Yemets,Eduard Stakhovsky,,,,,,,,,,,,,
46,Percutaneous Nephrolithotomy: Critical Analysis of Unfavorable Results,http://www.siucongress.org/eipdf/siu2012Abstract00267.pdf,Abdulqadir Alobaidy,Abdullah Al-Naimi,Khalid Assadiq,Haider Alkhafaji,Abdulla Al-Ansari,Ahmed Shokeir,,,,,,,,,,,,,,
48,Prospective Randomized Trial of Povidone-iodine Prophylactic Cleansing of the Rectum Prior to Transrectal Ultrasound-Guided Prostate Biopsy,http://www.siucongress.org/eipdf/siu2012Abstract00269.pdf,Zeid Abughosh,Joseph Margolick,S. Larry Goldenberg,Stephen Taylor,Martin E. Gleave,Ben Chew,William Bowie,Diane Roscoe,Lindsay Machan,Peter Black,,,,,,,,,,
50,BackStop Gel to Prevent Stone Fragment Migration after Endourologic Lithotripsy: Initial Experience,http://www.siucongress.org/eipdf/siu2012Abstract00271.pdf,Alejandro Rodriguez,Michelle Pacheco,Tariq Hakky,,,,,,,,,,,,,,,,,
51,Robotic-Assisted Ileovesicostomy: A Pure Intracorporeal Technique Video,http://www.siucongress.org/eipdf/siu2012Abstract00272.pdf,Alejandro Rodriguez,Philippe Spiess,Tariq Hakky,,,,,,,,,,,,,,,,,
55,Is Routine Computed Tomography of Upper Urinary Tract Justified Following Bladder Cancer Surgery in the Era of Powerful Ultrasonography?,http://www.siucongress.org/eipdf/siu2012Abstract00278.pdf,Cedomir Topuzovic,Pejcic Toma,Tulic Cane,,,,,,,,,,,,,,,,,
60,Non-functioning Kidneys: Is Nephrectomy Indicated? A 10-Year Review,http://www.siucongress.org/eipdf/siu2012Abstract00283.pdf,Chang Chung Ngo,Cheong Yu,Sau Kwan Chu,Chi Wai Man,,,,,,,,,,,,,,,,
61,Our Experience in Penile Fracture Management,http://www.siucongress.org/eipdf/siu2012Abstract00284.pdf,Isa Haxhiu,Xhevdet Cuni,Sabri Hyseni,Hilmije Aliu,Anduena Haxhiu,Emirjon Haxhiu,,,,,,,,,,,,,,
64,Investigation of Time Period-Related Differences in Prophylactic Effects of BCG Intravesical Instillation Therapy,http://www.siucongress.org/eipdf/siu2012Abstract00354.pdf,Takehiko Okamura,Ryosuke Ando,Hidetoshi Akita,Akihiro Nakane,Takahiro Kobayashi,Yoshihiro Hashimoto,Yutaka Iwase,Noriyasu Kawai,Keiichi Tozawa,Kenjiro Kohri,,,,,,,,,,
65,Plasma Thymosin-alpha1 Level as a Potential Biomarker in Urothelial and Renal Cell Carcinoma,http://www.siucongress.org/eipdf/siu2012Abstract00355.pdf,Yeong-Chin Jou,Yuh-Shyan Tsai,Chang-Huang Shen,Chang-Te Lin,,,,,,,,,,,,,,,,
66,Investigation of Gene Transfer Using the Human JC Virus-like Particle to Inhibit Human Urothelial Carcinoma Cell Growth,http://www.siucongress.org/eipdf/siu2012Abstract00356.pdf,Cheng-Huang Shen,Yeong-Chin Jou,Chang-Te Lin,Pi-Che Chen,Deching Chang,,,,,,,,,,,,,,,
70,Functional and Morphological Properties of Pericytes in Bladder Suburothelial Venules: Pacemaker Cells of Suburothelial Microcirculation,http://www.siucongress.org/eipdf/siu2012Abstract00360.pdf,Hikaru Hashitani,Retsu Mitsui,Yuki Shimizu,Keisuke Ohta,Keiichiro Nakamura,,,,,,,,,,,,,,,
72,Clinicopathological Characterization of the Micropapillary Variant of Bladder Cancer,http://www.siucongress.org/eipdf/siu2012Abstract00362.pdf,Hiroshi Kitamura,Toshihiko Torigoe,Yoshihiko Hirohashi,Hiroko Asanuma,Sachiyo Nishida,Ryuta Inoue,Toshiaki Tanaka,Naoya Masumori,Noriyuki Sato,Taiji Tsukamoto,,,,,,,,,,
75,Upper Urinary Tract Calculus Is the Highest Risk for Nephrectomy for Non-Renal Tumor Patients: A Single Center Study Over 10 Years,http://www.siucongress.org/eipdf/siu2012Abstract00371.pdf,Shanhua Mao,Haowen Jiang,Zhong Wu,Zujun Fang,Guowei Xia,Qiang Ding,,,,,,,,,,,,,,
79,Inadequate Testosterone Suppression in Prostate Cancer Patients Failing on GnRH Agonists: Preliminary Data from the Delay Study,http://www.siucongress.org/eipdf/siu2012Abstract00378.pdf,Alan Abramovitch,Cal Andreou,Jack Barkin,Richard Casey,Stanley Flax,John Giddens,Eric Hirshberg,Kenneth Jansz,Lorne Aaron,Thomas Kinahan,Morrie Liquornik,Alvaro Morales,Jean Simard,Gary Steinhoff,George Vrabec,Robert Siemens,Pierre Karakiewicz,Joseph Zadra,Wilson Leung,Todd Webster
80,Identification of Novel Micrornas Associated with Epithelial-Mesenchymal Transition in Human Bladder Cancer by miRNA Chip Array Profiling,http://www.siucongress.org/eipdf/siu2012Abstract00379.pdf,Masakazu Nakashima,Yoshiyuki Matsui,Ryoichi Saito,Fumiaki Sato,Hiroyuki Nishiyama,Osamu Ogawa,,,,,,,,,,,,,,
82,Incidence and Prognostic Implications of Perineural Invasion with Urothelial Carcinoma Following Radical Cystectomy,http://www.siucongress.org/eipdf/siu2012Abstract00390.pdf,Robert Flanigan,Manoj Rao,Ted Vellos,Guliz Barkan,Marcus Quek,,,,,,,,,,,,,,,
83,Lingual Mucosa Harvest Technique,http://www.siucongress.org/eipdf/siu2012Abstract00391.pdf,Ramon Virasoro,Gabriel Catalan,Reynaldo Gomez,Kurt McCammon,,,,,,,,,,,,,,,,
